NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	45	-0.49593508	-2.1348364	0.0	0.007747423	0.007	275	tags=51%, list=22%, signal=63%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	23	-0.5238809	-1.8923906	0.00589391	0.04184192	0.07	390	tags=65%, list=31%, signal=92%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	26	-0.47542536	-1.800286	0.009310987	0.06065557	0.139	168	tags=35%, list=13%, signal=39%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	33	-0.4370714	-1.7772355	0.01509434	0.055588417	0.163	134	tags=30%, list=11%, signal=33%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	33	-0.429216	-1.7563305	0.014678899	0.05116964	0.185	394	tags=64%, list=31%, signal=90%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	20	-0.4864266	-1.7067881	0.015296367	0.06361084	0.274	45	tags=20%, list=4%, signal=20%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	28	-0.43891641	-1.7031801	0.021978023	0.05596953	0.281	273	tags=43%, list=21%, signal=53%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	31	-0.4310245	-1.6786331	0.018761726	0.058678184	0.323	217	tags=42%, list=17%, signal=49%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	40	-0.36293352	-1.5608587	0.02909091	0.10790095	0.561	292	tags=48%, list=23%, signal=60%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	46	-0.3533186	-1.5311829	0.035849057	0.11183969	0.616	399	tags=57%, list=31%, signal=79%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	17	-0.3890829	-1.2914083	0.17760618	0.32229486	0.944	328	tags=59%, list=26%, signal=78%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	16	-0.38977098	-1.2894422	0.1736527	0.29818094	0.949	330	tags=44%, list=26%, signal=58%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	30	-0.31793603	-1.2652724	0.18198198	0.304676	0.961	91	tags=17%, list=7%, signal=18%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	27	-0.2872289	-1.1093923	0.32427537	0.5051769	1.0	587	tags=74%, list=46%, signal=135%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	37	-0.26997396	-1.1018362	0.33208954	0.48470822	1.0	290	tags=43%, list=23%, signal=54%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	25	-0.2803856	-1.0409988	0.4213483	0.554329	1.0	245	tags=28%, list=19%, signal=34%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	37	-0.2491306	-1.0259527	0.42806393	0.54726017	1.0	211	tags=27%, list=17%, signal=31%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	35	-0.24264748	-0.99949116	0.45326278	0.55871004	1.0	442	tags=54%, list=35%, signal=81%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	26	-0.2595659	-0.9992358	0.45065176	0.53003407	1.0	86	tags=12%, list=7%, signal=12%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	36	-0.20268692	-0.8437218	0.7093863	0.7426974	1.0	223	tags=28%, list=18%, signal=33%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		28	-0.1730535	-0.64839786	0.8954955	0.94228756	1.0	127	tags=14%, list=10%, signal=16%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		44	-0.093000375	-0.40500203	1.0	0.9957212	1.0	426	tags=36%, list=34%, signal=53%	
