NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	28	-0.4499406	-1.6198357	0.04373178	0.5128554	0.533	258	tags=68%, list=34%, signal=98%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	33	-0.38016698	-1.4468163	0.09090909	0.6289735	0.859	151	tags=36%, list=20%, signal=43%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	16	-0.40513873	-1.256215	0.22222222	0.86931854	0.986	173	tags=38%, list=22%, signal=47%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	16	-0.384074	-1.230442	0.23190546	0.7160006	0.991	70	tags=31%, list=9%, signal=34%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	43	-0.30124888	-1.2288483	0.23324743	0.5766994	0.991	177	tags=37%, list=23%, signal=46%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	15	-0.36665487	-1.1390362	0.3421875	0.64524186	0.999	272	tags=60%, list=35%, signal=91%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	52	-0.25903326	-1.0920869	0.35861182	0.63135284	1.0	408	tags=75%, list=53%, signal=149%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	28	-0.28462738	-1.0371263	0.4281609	0.6417117	1.0	12	tags=7%, list=2%, signal=7%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	16	-0.30552098	-0.9456605	0.51937985	0.7042744	1.0	67	tags=19%, list=9%, signal=20%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	35	-0.23648755	-0.921758	0.5308311	0.66537917	1.0	119	tags=20%, list=15%, signal=23%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	34	-0.23673338	-0.8936227	0.5887208	0.63876605	1.0	294	tags=53%, list=38%, signal=82%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	22	-0.22928724	-0.80780137	0.6627737	0.6872024	1.0	6	tags=5%, list=1%, signal=4%	
